recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2020,387,575,4102.0,27,13.0,29.0,2237.0,22
ARI,2021,434,625,4756.0,27,13.0,41.0,2137.0,24
ARI,2022,433,664,3966.0,17,17.0,46.0,1873.0,15
ARI,2023,355,555,3430.0,18,12.0,42.0,2365.0,17
ARI,2024,374,543,3859.0,21,11.0,30.0,2451.0,18
ATL,2020,408,628,4620.0,27,11.0,41.0,1532.0,13
ATL,2021,377,573,3987.0,20,15.0,40.0,1451.0,11
ATL,2022,257,415,2927.0,17,9.0,37.0,2718.0,17
ATL,2023,327,530,3775.0,17,17.0,40.0,2159.0,14
ATL,2024,364,559,4283.0,21,19.0,32.0,2219.0,18
BAL,2020,294,467,3320.0,27,13.0,41.0,3457.0,26
BAL,2021,396,611,4267.0,21,18.0,57.0,2479.0,18
BAL,2022,317,517,3428.0,21,14.0,40.0,2875.0,14
BAL,2023,364,553,4305.0,30,8.0,48.0,2971.0,28
BAL,2024,352,523,4618.0,45,5.0,27.0,3664.0,24
BUF,2020,487,716,5603.0,45,12.0,35.0,1980.0,17
BUF,2021,463,717,5087.0,45,16.0,29.0,2488.0,23
BUF,2022,409,655,4907.0,38,17.0,41.0,2403.0,17
BUF,2023,432,648,4695.0,33,18.0,26.0,2573.0,25
BUF,2024,387,602,4574.0,34,6.0,19.0,2734.0,38
CAR,2020,373,550,4129.0,16,16.0,36.0,1704.0,19
CAR,2021,348,599,3573.0,14,21.0,52.0,1842.0,17
CAR,2022,267,457,3246.0,16,13.0,36.0,2210.0,16
CAR,2023,350,586,3245.0,13,10.0,65.0,1769.0,7
CAR,2024,341,547,3411.0,22,15.0,36.0,1878.0,18
CHI,2020,421,643,4124.0,27,16.0,37.0,1695.0,12
CHI,2021,332,542,3635.0,16,20.0,58.0,2018.0,14
CHI,2022,223,377,2598.0,19,15.0,58.0,3014.0,18
CHI,2023,321,513,3421.0,19,15.0,50.0,2399.0,16
CHI,2024,353,566,3552.0,20,7.0,68.0,1734.0,13
CIN,2020,372,581,3793.0,19,11.0,48.0,1668.0,13
CIN,2021,482,698,5917.0,42,16.0,74.0,2085.0,17
CIN,2022,490,719,5241.0,39,14.0,54.0,1822.0,17
CIN,2023,420,615,4257.0,27,14.0,50.0,1527.0,12
CIN,2024,460,652,4918.0,43,9.0,48.0,1574.0,11
CLE,2020,359,572,4168.0,31,9.0,27.0,2613.0,24
CLE,2021,320,520,3619.0,21,14.0,49.0,2471.0,20
CLE,2022,335,540,3710.0,19,12.0,44.0,2490.0,19
CLE,2023,389,670,4318.0,25,25.0,49.0,2073.0,16
CLE,2024,395,661,3879.0,19,23.0,66.0,1608.0,8
DAL,2020,413,639,4511.0,25,13.0,44.0,1788.0,14
DAL,2021,468,691,5233.0,41,12.0,38.0,2196.0,16
DAL,2022,403,626,4422.0,33,20.0,29.0,2502.0,25
DAL,2023,469,674,5063.0,39,12.0,44.0,2043.0,15
DAL,2024,398,637,4092.0,23,14.0,38.0,1705.0,6
DEN,2020,317,556,3673.0,21,23.0,32.0,1918.0,13
DEN,2021,354,541,3856.0,20,9.0,40.0,2025.0,16
DEN,2022,345,571,4007.0,18,15.0,63.0,1935.0,11
DEN,2023,337,513,3566.0,28,9.0,52.0,1810.0,8
DEN,2024,393,593,3967.0,31,12.0,26.0,1987.0,12
DET,2020,374,582,4397.0,27,13.0,42.0,1499.0,17
DET,2021,396,593,3884.0,23,14.0,36.0,1886.0,12
DET,2022,383,588,4444.0,29,7.0,24.0,2179.0,23
DET,2023,485,717,5443.0,34,12.0,38.0,2686.0,34
DET,2024,424,594,5054.0,40,16.0,35.0,2689.0,32
GB,2020,428,610,4941.0,53,6.0,26.0,2373.0,18
GB,2021,422,622,4751.0,39,7.0,38.0,1967.0,14
GB,2022,364,563,3890.0,27,12.0,32.0,2113.0,12
GB,2023,411,636,4676.0,37,13.0,30.0,2184.0,13
GB,2024,328,512,4151.0,28,14.0,24.0,2603.0,24
HOU,2020,383,546,4843.0,33,7.0,50.0,1466.0,10
HOU,2021,354,546,3630.0,21,15.0,44.0,1422.0,8
HOU,2022,352,579,3642.0,20,19.0,38.0,1476.0,7
HOU,2023,408,647,5033.0,30,8.0,47.0,1751.0,11
HOU,2024,398,631,4479.0,21,13.0,65.0,2226.0,17
IND,2020,398,598,4495.0,26,11.0,21.0,2159.0,21
IND,2021,324,521,3588.0,27,8.0,32.0,2540.0,22
IND,2022,398,604,3855.0,17,20.0,60.0,1866.0,8
IND,2023,355,574,3882.0,18,10.0,41.0,2059.0,19
IND,2024,289,513,3599.0,20,19.0,32.0,2318.0,20
JAX,2020,387,616,3955.0,25,16.0,44.0,1519.0,9
JAX,2021,361,604,3674.0,12,17.0,32.0,1755.0,13
JAX,2022,446,682,4653.0,30,14.0,32.0,2377.0,17
JAX,2023,412,620,4377.0,22,14.0,41.0,1646.0,17
JAX,2024,343,546,3717.0,19,15.0,32.0,1729.0,13
KC,2020,502,755,5921.0,44,10.0,29.0,2143.0,16
KC,2021,538,798,5996.0,49,16.0,37.0,2382.0,18
KC,2022,512,758,5976.0,49,12.0,29.0,2314.0,19
KC,2023,525,784,5434.0,34,18.0,33.0,2296.0,12
KC,2024,459,683,4725.0,31,13.0,52.0,2024.0,19
LA,2020,425,642,4541.0,22,14.0,32.0,2278.0,21
LA,2021,505,749,6121.0,50,21.0,38.0,2009.0,12
LA,2022,347,531,3506.0,16,15.0,59.0,1661.0,15
LA,2023,386,619,4667.0,28,13.0,36.0,2113.0,18
LA,2024,412,630,4629.0,26,9.0,38.0,1966.0,15
LAC,2020,413,627,4548.0,31,10.0,34.0,1784.0,12
LAC,2021,443,674,5014.0,38,15.0,31.0,1834.0,18
LAC,2022,510,754,5064.0,27,10.0,42.0,1591.0,17
LAC,2023,409,632,4312.0,24,8.0,43.0,1642.0,11
LAC,2024,350,542,4143.0,24,7.0,48.0,1932.0,17
LV,2020,369,551,4383.0,28,10.0,28.0,1916.0,20
LV,2021,458,682,5118.0,24,15.0,43.0,1720.0,14
LV,2022,359,586,4182.0,28,17.0,35.0,2057.0,12
LV,2023,348,557,3666.0,20,18.0,40.0,1542.0,11
LV,2024,410,635,4117.0,19,16.0,50.0,1357.0,10
MIA,2020,370,559,3937.0,24,13.0,34.0,1688.0,15
MIA,2021,404,615,3936.0,21,14.0,40.0,1568.0,12
MIA,2022,386,629,4985.0,31,17.0,39.0,1728.0,13
MIA,2023,413,605,4897.0,31,16.0,33.0,2384.0,27
MIA,2024,413,591,4036.0,22,10.0,43.0,1795.0,12
MIN,2020,349,516,4265.0,35,13.0,39.0,2283.0,20
MIN,2021,398,604,4450.0,34,7.0,30.0,1930.0,10
MIN,2022,480,712,5089.0,32,15.0,47.0,1722.0,19
MIN,2023,424,631,4700.0,30,19.0,47.0,1553.0,7
MIN,2024,389,588,4624.0,36,13.0,58.0,1961.0,9
NE,2020,283,440,3124.0,12,14.0,37.0,2346.0,20
NE,2021,388,573,4330.0,26,15.0,31.0,2240.0,24
NE,2022,358,540,3815.0,19,14.0,41.0,1832.0,12
NE,2023,351,557,3392.0,16,21.0,48.0,1627.0,9
NE,2024,342,529,3343.0,18,11.0,52.0,1969.0,11
NO,2020,418,596,4400.0,32,11.0,30.0,2492.0,31
NO,2021,293,504,3437.0,29,13.0,37.0,1991.0,12
NO,2022,338,512,3969.0,24,14.0,38.0,1982.0,12
NO,2023,406,606,4225.0,28,11.0,35.0,1742.0,13
NO,2024,340,551,3730.0,21,12.0,37.0,1954.0,15
NYG,2020,321,517,3336.0,12,11.0,50.0,1768.0,13
NYG,2021,351,593,3463.0,15,20.0,38.0,1688.0,8
NYG,2022,385,582,3867.0,19,7.0,57.0,2779.0,24
NYG,2023,338,518,3351.0,15,12.0,85.0,1874.0,10
NYG,2024,366,591,3521.0,15,13.0,48.0,1783.0,13
NYJ,2020,292,499,3115.0,16,14.0,43.0,1683.0,9
NYJ,2021,357,603,3959.0,20,20.0,53.0,1667.0,14
NYJ,2022,357,627,4040.0,15,14.0,42.0,1686.0,13
NYJ,2023,356,601,3373.0,11,15.0,64.0,1647.0,7
NYJ,2024,385,607,4016.0,31,11.0,40.0,1561.0,8
PHI,2020,334,598,3728.0,22,20.0,65.0,2027.0,16
PHI,2021,330,537,3843.0,21,12.0,33.0,2810.0,26
PHI,2022,408,623,4943.0,28,9.0,48.0,3040.0,42
PHI,2023,394,598,4317.0,25,16.0,42.0,2232.0,22
PHI,2024,368,540,4243.0,29,7.0,58.0,3866.0,40
PIT,2020,475,724,4630.0,39,15.0,14.0,1403.0,13
PIT,2021,454,708,4232.0,25,11.0,40.0,1639.0,10
PIT,2022,364,571,3661.0,12,14.0,38.0,2073.0,16
PIT,2023,345,545,3650.0,15,10.0,37.0,2116.0,16
PIT,2024,341,529,3877.0,23,6.0,53.0,2195.0,14
SEA,2020,399,590,4419.0,42,14.0,53.0,2107.0,15
SEA,2021,324,495,3815.0,30,7.0,46.0,2074.0,18
SEA,2022,424,608,4535.0,32,13.0,49.0,2146.0,13
SEA,2023,371,575,4167.0,23,12.0,38.0,1580.0,11
SEA,2024,413,593,4379.0,21,16.0,54.0,1627.0,17
SF,2020,371,570,4320.0,25,17.0,39.0,1889.0,19
SF,2021,386,588,4972.0,28,17.0,37.0,2491.0,24
SF,2022,386,589,4692.0,33,9.0,37.0,2735.0,23
SF,2023,403,600,5372.0,37,13.0,38.0,2765.0,32
SF,2024,349,533,4424.0,23,16.0,36.0,2163.0,17
TB,2020,491,764,5837.0,52,15.0,28.0,2009.0,20
TB,2021,551,822,5983.0,46,13.0,30.0,1829.0,22
TB,2022,534,817,5097.0,28,11.0,24.0,1360.0,5
TB,2023,412,645,4730.0,34,12.0,48.0,1717.0,8
TB,2024,423,589,4690.0,43,16.0,41.0,2637.0,16
TEN,2020,334,511,3991.0,35,8.0,26.0,2741.0,26
TEN,2021,374,559,3965.0,24,17.0,48.0,2544.0,24
TEN,2022,285,456,3227.0,17,11.0,49.0,2131.0,16
TEN,2023,304,494,3512.0,14,11.0,64.0,1846.0,16
TEN,2024,336,530,3621.0,22,21.0,52.0,1855.0,11
WAS,2020,415,645,4102.0,17,17.0,52.0,1697.0,20
WAS,2021,356,550,3746.0,21,15.0,43.0,2061.0,13
WAS,2022,344,554,3783.0,24,16.0,48.0,2143.0,9
WAS,2023,407,636,4174.0,24,21.0,65.0,1592.0,14
WAS,2024,441,640,4777.0,34,10.0,54.0,2982.0,29
